seed,fid,err,u1_0,u1_1,u1_2,u1_3,u1_4,u1_5,u1_6,u1_7,u1_8,u1_9,u1_10,u1_11,u1_12,u1_13,u1_14,u1_15,u1_16,u1_17,u1_18,u1_19,u2_0,u2_1,u2_2,u2_3,u2_4,u2_5,u2_6,u2_7,u2_8,u2_9,u2_10,u2_11,u2_12,u2_13,u2_14,u2_15,u2_16,u2_17,u2_18,u2_19
20260801,9.9999999999800626e-01,1.9937385076218561e-12,-2.4069373280777899e+00,-1.9252801334811356e+00,-1.6275428235488629e+00,-3.5648524502903629e+00,2.6496637123185725e+00,1.8722445933554823e+00,5.7597515775776631e-01,7.3362524364825821e-01,-1.8462883075839531e+00,-2.5662285678987984e+00,-7.7365284892178043e-01,1.8610966551666464e+00,1.9547223490114889e+00,2.1545696413818765e+00,-9.9095844663844534e-01,1.5109672635261355e+00,-1.8008050060909391e+00,2.8040610705396496e-01,2.2608748904395826e-01,3.1608365337241473e-01,-2.2576808686572809e+00,2.1534628628289014e+00,-2.4338217323298428e-01,-1.2248709182164741e+00,-1.4933873293048655e-01,1.2322010402277201e+00,9.1180883910860466e-01,-3.9274180837236428e-01,-1.0584634425340651e+00,2.9707694781406753e+00,-1.2580400956905984e+00,-8.1409222939718390e-02,-8.8834582902393253e-02,-5.7854242710273440e-01,6.6612555422825814e-01,-1.0862431176805754e+00,-5.8568471789292254e-01,2.3058848107885027e-01,1.8379745171565762e+00,-1.4614470244654449e+00
20260802,9.9999999999517419e-01,4.8258064211381679e-12,2.1874771303880203e+00,1.6038951113337783e+00,-2.2802917829894502e+00,-4.5399650709033876e+00,-4.5425652634477637e-01,4.3531859944672178e+00,2.0453607868377519e+00,-1.0391355872967198e+00,-5.8548313023548537e-01,1.4067119883593076e+00,2.6402733631967132e+00,2.4182723441204153e+00,1.2630751413916415e+00,1.8139395664475404e+00,-1.1836898578049890e+00,-1.3376035447978305e+00,9.4078318484855150e-01,-7.6181923817492581e-01,-1.0773667872990540e+00,-1.4228128934646686e-01,1.2812713268671805e+00,3.0957976667065695e-01,-2.8785791537866894e+00,9.5752432347493910e-01,2.2856604495777773e+00,1.0461197235432369e+00,-5.6761163660209568e-01,-2.7965771023060870e-01,-1.5558049633488522e+00,-2.9153629013997402e+00,-1.2562917239759623e+00,1.4817098768700909e+00,8.7602431995351260e-01,1.6450278566385004e+00,1.9467373770047429e+00,-1.7552414195868120e+00,-6.1585552218114348e-02,5.5096898135835060e-01,3.0625162001398425e+00,5.1973259241787839e-01
20260803,9.9999999999755484e-01,2.4451551894344448e-12,3.1272279648816992e-01,-1.2589110250586926e+00,-3.5889368000071131e-01,7.3499507140690390e-01,1.6745746287974361e+00,1.0256956298908551e+00,-6.2959819839464515e-01,-2.6006386001272896e-01,-1.9112705123645557e+00,-3.0016612592028937e+00,2.4752776007021637e+00,2.2625486410123887e+00,-3.4870908815784984e-01,1.9931067350326889e-01,-7.8770209825203802e-02,-1.9499051091393200e+00,-1.9539428678756858e+00,-3.5741040417835279e-01,1.4131708126455214e+00,-1.2161789155283982e+00,-5.4142100294166851e-01,2.6570205669608278e+00,1.6316889043147524e+00,-1.6581947285274490e+00,-1.7425820066213398e+00,1.6048927740451111e+00,5.5498427086736934e-01,5.7224988022404710e-01,7.6038209554546465e-01,5.7737252790319027e-01,-7.1078196557117579e-01,-1.8752108625190114e+00,1.8399062684246357e+00,-3.0517665500861019e-01,1.3747536999795236e+00,-2.2392660621026685e+00,-6.9173369445788535e-01,-7.3258916163095233e-01,-2.9334719128527864e-01,2.0964899412530764e+00
20260804,9.9999999999920974e-01,7.9025674892818643e-13,-4.3983505214964405e+00,5.2043751207898348e+00,3.2223148815086948e+00,-4.2320083913508133e-01,-6.2825913866941041e-01,-6.7841969748579478e-01,1.3789423729602706e+00,-5.8889421385298746e-01,-9.3874940430125176e-02,1.0332128594350507e+00,5.2073079029402358e-01,-8.5929855694781287e-01,-2.2375034506088748e-01,7.9199604590072248e-01,-2.8289932851540239e-01,-1.2445050499801691e+00,3.6598799771332344e+00,1.7350065000937216e+00,-4.7110701995601953e+00,-2.7265246091170163e+00,-7.3885395683414612e-01,1.4615643559552963e-01,-4.5111414073331479e+00,2.9764101623731259e-01,2.1802830193035803e+00,-1.5619179885670260e+00,-5.0080080351687650e-01,3.9306494416077747e-01,-1.9754822894399818e-01,-1.6914608922318934e+00,1.4447454226805687e+00,9.9200669381384310e-01,3.7733411338636103e-01,-8.5266204716316973e-01,-3.1980994911453564e-01,-1.2618464475270350e+00,7.8751938337951399e-01,1.3659680160672798e+00,-3.3636479494519794e-01,-1.1424379179627788e+00
20260805,9.9999999999923561e-01,7.6438855245442028e-13,-1.7233978677599766e+00,1.6554882623688796e-01,3.5214301076072005e+00,-3.4942424246209187e+00,-3.1623322370717286e+00,2.2353761386864566e+00,1.6071565405108783e+00,-5.2418724510117398e-01,-2.7783211058443742e+00,1.1054302924774539e+00,6.2209441173013835e-01,-1.6813006344127821e+00,-1.2084387096377933e+00,-3.8513945981590220e-01,-3.1089878940947474e-01,1.1253677187034259e+00,-6.3885805893446757e-01,1.2189572888353641e+00,1.5770401466445789e+00,-2.6117792730839412e-01,2.1678900560407580e-01,1.8881704839484567e-01,-2.6641516180764774e-01,2.7768849587360678e+00,-3.2099504226428248e+00,4.3853868578195898e-01,-1.5250672878562160e-01,6.8949790025347713e-01,-4.2979083096427763e-02,1.6732556164684163e+00,7.4082053533205361e-01,-4.6177091162157491e-01,-1.8140064357018229e-01,1.0580826725295025e+00,-5.2542805680509586e-01,-2.7688177291780280e-01,-7.2780006896792904e-01,2.0196455162534042e+00,1.8378141608822594e+00,-6.9579608928495451e-01
20260806,9.9999999999944589e-01,5.5411231159041563e-13,2.7615509540368581e+00,4.9171601707744053e+00,-1.9682257952740057e+00,-1.3175295339700446e+00,7.2317976283148844e-01,7.3146524876248309e-01,-4.2446268864268349e-01,5.9870498714283515e-01,1.4477557351910364e-01,-1.4314189135903952e+00,3.5962703133430429e-01,-3.7596937352881477e-01,-3.3544336535793401e-01,-6.5474631829313368e-01,7.9908018187815544e-01,1.3050642709289528e-01,9.3452944243077951e-01,-2.4696114214609954e+00,-5.9575145255306836e+00,3.2695987342002799e+00,1.4447700458301296e-01,-5.1969549377714586e-01,1.4825982718337534e+00,6.3884507087928644e-01,1.6176764708429137e+00,-1.2049825584014460e+00,-1.7011443581314527e+00,1.8414401464536614e+00,3.9790241690639300e-01,-4.6568806123504153e-01,-7.7977610158095800e-01,2.2962056984384377e-01,3.0168453966457415e-01,-7.7852062435818514e-01,-1.1534270742948309e+00,2.6762701245463458e+00,-4.4177752075648757e-01,-2.2878605071127422e+00,-1.9909256174994183e+00,-2.8341124278457269e-01
20260807,9.9999999999866929e-01,1.3307133173157126e-12,1.5552377203761674e+00,7.8549910133900969e-01,-6.6107148111551606e+00,-1.4633607606078687e+00,1.4768349468709669e+00,-2.2548090193539846e-01,-1.3025918406058440e-01,5.2097540253279517e-01,8.2145744932007922e-02,1.9147573513715013e-01,-4.0230780897761470e-01,-7.3995926390384781e-01,1.8891197027470988e-01,-3.0573294788061750e-01,1.2021541039194654e-01,5.3153580244143450e-01,-9.2759744461770752e-02,-3.0643810689326516e+00,2.2224384320317747e+00,5.4417269109139488e+00,-6.3689445063873762e-01,-1.6539725185134366e+00,-4.3571201792200598e-01,-2.5179693376437537e+00,-1.6906303680109262e-02,1.8296771621403626e-01,-3.0295850306426170e-01,4.9766718261004594e-01,-2.1692961792027297e+00,1.4561095917383393e+00,-7.9137743180752729e-01,-2.3224109575794114e-01,1.6427311199870485e+00,1.6091679413793678e+00,-1.2496447473384094e+00,-1.1541629180881030e+00,8.3304389245481769e-01,1.5660300886530900e+00,-1.3932343452218443e+00,6.7905522393015993e-01
20260808,9.9999999999882794e-01,1.1720624470967778e-12,-2.9805286229506494e+00,-3.6698165451149580e+00,5.2688912858151249e-01,2.7083774961462104e+00,-1.8146337281541841e-01,-2.5469514376484654e+00,-8.0349187947050504e-01,-1.6751704024105813e+00,-5.3688010401843500e-01,-3.9588814655114907e-02,-8.4424875201512869e-03,3.2193499775271822e-01,-7.5459216442052157e-01,-5.2113836875199360e-01,1.7892994937096901e-01,-6.8689440340381858e-01,1.1144795822932949e+00,2.8709337175091276e+00,6.3570610434822115e-03,-5.0197224904906621e+00,2.6886537374474129e+00,-3.5451733242653991e+00,1.6736585520828251e+00,1.1807100797385730e+00,-4.5151268069356587e-01,-8.7459157719209812e-01,-1.2736329717324675e+00,-2.1062001030400071e-01,-1.2685425280852176e+00,-3.0730288913815118e-01,6.8486034842423882e-01,-3.7297386532443094e-01,7.6309488980838536e-01,1.3510201221342815e+00,2.8306487651859025e-01,-2.0732079832888402e+00,-1.4207398622893896e+00,9.7597995480681521e-01,-7.2912335216032442e-01,1.0222599561673411e+00
20260809,9.9999999999918421e-01,8.1579187849456503e-13,9.9030951891970009e-01,-2.0038148936635993e+00,-6.8632163789006739e-01,7.0104347401424139e-01,-1.0574022959212841e+00,-2.4123050427887844e+00,2.1133831499796774e+00,1.4788236152114196e+00,-1.1292031743930564e+00,-2.0128923090733069e+00,1.4108587399472223e+00,1.4520418313499270e+00,-1.8477528669500998e-01,-4.0103281683790843e+00,1.8062993007191348e+00,3.4029142219473876e+00,-1.7374932341510458e+00,2.4332408522018886e-02,2.4725485499398792e+00,-6.2298489320153738e-01,2.0281835837013623e-01,1.0543418575844801e+00,3.1926423138024860e+00,-1.2345239304852427e+00,-7.6049063004141271e-01,-2.2984599466362943e-01,8.1862796699216855e-01,-3.2687849262033808e+00,1.6053880086825454e+00,4.4046359117761481e-02,-2.9936302560661407e+00,3.0505604399646842e+00,-1.0309610741233174e-01,1.8338198075189741e-01,-3.6830889322649946e-01,2.7684519388758457e-02,-1.3520655967612414e+00,1.1197242745644305e+00,1.0320298552148821e+00,-6.3691979563965184e-01
20260810,9.9999999999872613e-01,1.2738698984549046e-12,2.1662684477064015e-01,-2.8121118991849908e-01,2.2573560208834578e-01,-1.7657262714748105e+00,-8.1274934467568105e-01,1.0800360068018479e-01,-8.6251038659975621e-01,-1.5626894729950922e+00,-5.6967567068742664e-01,4.5942405303178928e+00,4.4973376555376604e-01,-4.5072512347265441e+00,-2.7182520580362163e-01,3.7827538187012553e+00,-3.7216647679748854e-01,-1.7408075271589170e+00,8.5400150596146629e-01,3.4499041372465489e-01,4.2864340788251115e-01,5.1832775261014707e-01,9.8026479695466995e-01,1.2166891710975620e+00,2.7664930379420380e+00,-5.9812256477014025e-01,3.1389111805595693e-01,3.6568195291291195e-01,1.3445142988531393e+00,1.3809134874614820e-01,-6.8098235924631223e-01,7.0103489434654331e-01,2.7338702319024211e-01,-6.6900839983447358e-01,1.4479387190527877e+00,4.3128058130939456e-01,5.0483101916252893e-01,-1.4415718200128500e+00,-1.1442796531613781e+00,5.1226102134043994e-01,2.3896464470850839e-01,-6.1735873712685807e-01
