controller,seed,fid,err,M_H0,r0_H0,rfs_H0,KM_H0,KMtv_H0,M_X1,r0_X1,rfs_X1,KM_X1,KMtv_X1,M_X2,r0_X2,rfs_X2,KM_X2,KMtv_X2,inradius_l2,inradius_linf,M_gamma,r0_gamma,gamma_star
1,20260801,0.999999999998005,1.9949597529489438e-12,0.006587818722390479,0.0017623154643057171,0.003523885991450959,0.00448314256699176,0.002840322051288065,0.019822661581332966,0.0035347178452580235,0.0070679415524187205,0.012129101505959219,0.006433789644003782,0.03889507274939734,0.005463287307596111,0.010924265263764398,0.019068359308726225,0.009614455901296275,0.00151528476104288,0.0009676951519971911,0.00025017467102000907,0.00024987499576873345,0.0002501748889061912
2,20260802,0.9999999999951757,4.824252108903693e-12,0.008187059583526599,0.0017623154593196114,0.0035237986311285182,0.005693571608906872,0.0028402545811925107,0.018395484444740873,0.0032819308809371142,0.006562311806632814,0.010479167202152596,0.005849917347675729,0.027797810639397513,0.004106463753980034,0.008210988151145418,0.016206360955981235,0.007475900667168041,0.001452290177912436,0.0008963364465128319,0.0002501712736072557,0.00024987499506134097,0.0002501714752660366
3,20260803,0.9999999999975566,2.4433788325950445e-12,0.007817250383969809,0.0017623154635154612,0.0035238691987639244,0.004998895450383287,0.0028403090819762804,0.03325459195982877,0.004774300598353627,0.00954653759356911,0.01740486698109199,0.008555620792339845,0.04156054381632156,0.004572001536376581,0.009142026909643256,0.02272531091848544,0.00835441834927384,0.0015547499603893117,0.0010044066867082118,0.00025017254919696536,0.00024987499565665643,0.00025017275692638095
4,20260804,0.9999999999992089,7.911449273478866e-13,0.006001410911673356,0.0017623154664272187,0.003523944266073208,0.004441343430796698,0.00284036705784848,0.022935046496833696,0.0032503913809604876,0.006499516282774751,0.010795774242665968,0.005681596272548279,0.038208338222995714,0.005300174111882628,0.010598283069389269,0.015346880906477702,0.008604933693047717,0.0014870285626353379,0.0009400584845517223,0.00025018099320459487,0.0002498749960697149,0.0002501812417934736
5,20260805,0.9999999999992322,7.678302438307583e-13,0.008164538607317383,0.0017623154664683064,0.0035239457374100776,0.006400522790343722,0.0028403681941881445,0.02211638917003141,0.0038106967948414424,0.007619911975042098,0.01338472262606003,0.006886108814092728,0.03999688477723144,0.006150976214572764,0.012299560904207888,0.018586598213905712,0.010444761218926554,0.0015480589353746032,0.0010076274216923313,0.0002501744452224715,0.0002498749960755436,0.0002501746620251756
6,20260806,0.9999999999994471,5.52891066263328e-13,0.005877152552564,0.001762315466847097,0.0035239605234661875,0.0043734053347755444,0.002840379613720355,0.02317436620544156,0.003690182790669468,0.007378961782568161,0.010174033675559524,0.0061183021835347325,0.031368899670487754,0.005341142205713346,0.010680252563876518,0.019288077908808262,0.009574873734647351,0.0015241502444441227,0.0009749910376262994,0.00025018348091507237,0.000249874996129209,0.00025018349034241865
7,20260807,0.9999999999986708,1.3291590050812374e-12,0.005825517354543187,0.001762315465479068,0.0035239149120601305,0.004759980350580399,0.0028403443872130245,0.022715043047812425,0.004276214369173296,0.00855069133641134,0.009683741758269686,0.006613424120683801,0.03899409926897172,0.005319946786855732,0.010637732109143748,0.020512679511875288,0.009615362217823742,0.0015579370245473764,0.001010857823740536,0.0002501898985957845,0.0002498749959351281,0.00025018994007532916
8,20260808,0.9999999999988269,1.1730616478189404e-12,0.005705959052832181,0.001762315465754161,0.003523922691250072,0.004480697591040612,0.0028403503952236964,0.02080776059337419,0.0041186269450261695,0.008235598694108217,0.01004765203428804,0.006925234650776617,0.03537211450389391,0.004830577315732139,0.009659213316533969,0.01715063862997025,0.0084260844849807,0.0015361193527101457,0.0009830432374010331,0.000250181233158878,0.00024987499597416634,0.0002501814829255069
9,20260809,0.9999999999991844,8.1556983388964e-13,0.008763272116039672,0.001762315466384174,0.00352394274774341,0.006554942231639099,0.002840365885215299,0.0224968880043084,0.003526682213335699,0.0070519872555954875,0.012953589177001134,0.006330971559327819,0.04004620304125117,0.004803977084818241,0.009606078214307838,0.018053225690567828,0.008497753717411169,0.00149785909360208,0.0009441544163362218,0.0002501689260420469,0.00024987499606356705,0.00025016911658786665
10,20260810,0.9999999999987267,1.273314786942592e-12,0.00866739928752079,0.0017623154655774832,0.0035239176397819853,0.0062741051236006795,0.0028403464938827,0.017939510952416825,0.004607864876682562,0.009213864735251969,0.011492718286970113,0.007706996750389768,0.042044568032119645,0.006824541894621257,0.01364632157841644,0.020513604075304087,0.011693352529627053,0.0016001502579426113,0.0010741305486046905,0.00025018328589288024,0.0002498749959490753,0.00025018329435567554
11,20260811,0.9999999999987572,1.2427836537654002e-12,0.00726047214824209,0.0017623154656312887,0.003523919156403293,0.0047475804683872885,0.0028403476651970793,0.02085616291557872,0.0043046285618280914,0.008607518543675117,0.01263316193405174,0.007599384539225788,0.04379169526220099,0.004711646612541168,0.00942139025613606,0.02051223070556694,0.00847589059418128,0.001541207718543757,0.0009881584973595809,0.00025017383661921967,0.00024987499595679135,0.00025017405050330123
12,20260812,0.9999999999984899,1.510125358095138e-12,0.006570055778372351,0.0017623154651601482,0.003523906445552424,0.00456032619132702,0.0028403378483730594,0.02451305417483636,0.00400243669409202,0.008003227993544679,0.012952673882669595,0.0070600963949382575,0.0387922813304226,0.004410976904411396,0.00882014046402621,0.018345055726492487,0.00792009167585576,0.001514798814138886,0.0009578633552974016,0.0002501673502950364,0.0002498749958899004,0.00025016753343710144
13,20260813,0.9999999999992196,7.803757640090225e-13,0.006714769732637177,0.0017623154664461972,0.0035239449429576184,0.004429559759476266,0.0028403675806183445,0.044247723370757594,0.005195849960462789,0.01038967741085667,0.018761008890049634,0.008987901294060258,0.03137720985095621,0.004173659409184869,0.008345694200984036,0.01634781434897726,0.007398476221876381,0.0015496310489717514,0.0010005057731820954,0.000250172750168493,0.0002498749960723933,0.0002501729588543874
14,20260814,0.9999999999983383,1.6616708009564718e-12,0.006046364709317006,0.0017623154648930774,0.003523899738922674,0.004453946772364416,0.0028403326687184475,0.02320421920873929,0.003368608834789095,0.006735820021965317,0.011230634174147274,0.006014512275423948,0.03279630902286723,0.003514980074609157,0.0070285017716649936,0.015234158424110087,0.006222103459783725,0.0014270489513345897,0.0008704808252449166,0.0002501805980222146,0.0002498749958520557,0.00025018084467344276
15,20260815,0.9999999999990475,9.524603328259218e-13,0.006607812422923672,0.00176231546614293,0.003523934629824887,0.00470008116663549,0.0028403596156012087,0.018489469137512957,0.004313562176017054,0.008625420035175734,0.010961269674562438,0.007226803213107596,0.040724543621225615,0.005372659193070936,0.010743195613068619,0.019436926480236358,0.00950040087560923,0.0015610333569437917,0.0010148267964545168,0.00025017441945504604,0.00024987499602931667,0.0002501746361328125
16,20260816,0.9999999999997581,2.419175970658216e-13,0.006999904896331405,0.0017623154673951304,0.003523988572285633,0.004826504690923334,0.0028404012763082118,0.025890368875664413,0.003602781601444033,0.00720424999202659,0.015381890706732132,0.00666051270734122,0.03666223635508303,0.005479776591861459,0.010957555809767192,0.01813483076981277,0.009585127008789244,0.0015208769029741605,0.0009732475637625707,0.00025016888588712944,0.00024987499620696623,0.000250169076244526
17,20260817,0.9999999999995312,4.688471832992036e-13,0.006025186251018409,0.001762315466995209,0.0035239670803060086,0.004641944879056927,0.002840384677682409,0.020044279995806616,0.0028862768815372426,0.005771466519855029,0.009644286311215323,0.005117636625127224,0.01707642594401975,0.0023575149658331867,0.004714141869894558,0.00901394828883526,0.004196080760750718,0.0012680117510813428,0.0007473406636665648,0.0002501762631878197,0.00024987499615027547,0.0002501764887444215
18,20260818,0.9999999999996436,3.5638159090467525e-13,0.006263987797893559,0.0017623154671934087,0.0035239768580334935,0.0050773857768365675,0.0028403922291906814,0.01844710683657355,0.002982632234597525,0.005964157477143043,0.008098430774047264,0.004857957966050781,0.023108629387998583,0.0033022809231825884,0.006603336217977925,0.012519123850752083,0.0057788544700665264,0.001378697699398568,0.0008295102483738883,0.0002501797555537515,0.0002498749961783641,0.00025017999807981043
19,20260819,0.9999999999987491,1.2508882818451639e-12,0.00606793841924801,0.0017623154656170056,0.003523918752009897,0.004826134691000604,0.002840347352876644,0.02395396943408553,0.003632851943718436,0.007264235795186035,0.009937841865037123,0.005902261598715878,0.035388384089335895,0.004470198860453888,0.008938591243680407,0.018539949487933437,0.008078514102886953,0.0014943736421435992,0.0009377301950722988,0.00025018742798298095,0.00024987499595473744,0.00025018745704366704
20,20260820,0.9999999999996767,3.232969447708456e-13,0.00584265713494907,0.0017623154672517143,0.003523980020992114,0.004342769361010699,0.0028403946719981026,0.025387807878914048,0.003611275177574577,0.00722121652596259,0.011671998791969267,0.006173264756372866,0.037421625449255674,0.005507947122603091,0.011013859877768383,0.018067216320060638,0.009339041991693444,0.0015221127474551951,0.0009747523177544582,0.0002501885701303809,0.00024987499618663527,0.0002501886049191944
21,20260821,0.9999999999997856,2.1438406605511773e-13,0.007677963356147618,0.0017623154674436532,0.0035239917853828284,0.005400118554047556,0.0028404037578377847,0.019885073734394257,0.0038740547509853607,0.007746704475333804,0.012232777783254031,0.006947141758837172,0.03860071006604483,0.004708003051121717,0.009414298622582277,0.018345549553627674,0.008417146823766337,0.001518417408899946,0.0009634217105992308,0.00025016708164011267,0.0002498749962139051,0.00025016726352262666
22,20260822,0.9999999999995112,4.888311977424564e-13,0.00585415447332035,0.0017623154669599908,0.003523965471192853,0.004682542013624186,0.0028403834349362772,0.02246619313569919,0.00335338084291965,0.006705495425625016,0.011116888522126563,0.005930442030072156,0.03374138597979546,0.00505567477353836,0.010109440488689985,0.020540226474413403,0.009300059405426806,0.0014906559982761495,0.0009403451251088432,0.00025017965941343705,0.00024987499614515456,0.00025017990147044897
23,20260823,0.9999999999995565,4.4353409833775004e-13,0.007850702845318941,0.0017623154670398185,0.0035239691685860688,0.005612178324761481,0.0028403862904973535,0.0282768385844151,0.0031704423670140653,0.006339694204070767,0.01581693436641194,0.005897343914917684,0.04029924138873402,0.007529307037510412,0.01505578675171743,0.018836285864888676,0.012212059156558342,0.0015090870297447183,0.0009845785054901654,0.00025017603940357845,0.00024987499615652047,0.00025017626387873794
24,20260824,0.9999999999961302,3.869793374633446e-12,0.00784641206095547,0.0017623154610016689,0.0035238241753994316,0.0054351163582588785,0.002840274309549727,0.028583855850451118,0.003938860882598326,0.007875918647247222,0.015347672120207276,0.007133411619210333,0.03844485765160781,0.005243853516397673,0.010485306519885287,0.016562076225317964,0.008834763346717005,0.0015379076058465535,0.0009881273926954336,0.00025017318668437804,0.00024987499529995565,0.00025017339745937283
25,20260825,0.9999999999982389,1.7611467839628858e-12,0.008938226594901148,0.0017623154647177692,0.003523895501885451,0.006526475403795649,0.0028403293963754845,0.021714561150657286,0.004377684884292479,0.008753542927628295,0.010470519682442869,0.00682257371264051,0.03238829980460628,0.0043145820501593515,0.008627363592651191,0.013625073663293833,0.0071794182519896894,0.0015287553846120908,0.0009731046521615074,0.00025017330146230707,0.00024987499582708954,0.00025017351278210846
