tf,tau,seed,fid,M,r0,rfs,KM,KMtv
4.0,20,20260820,0.9999999999996767,0.025387807878914048,0.003611275177574577,0.00722121652596259,0.011671998791969267,0.006173264756372866
4.0,20,20260821,0.9999999999997856,0.019885073734394257,0.0038740547509853607,0.007746704475333804,0.012232777783254031,0.006947141758837172
4.0,20,20260822,0.9999999999995112,0.02246619313569919,0.00335338084291965,0.006705495425625016,0.011116888522126563,0.005930442030072156
4.0,20,20260823,0.9999999999995565,0.0282768385844151,0.0031704423670140653,0.006339694204070767,0.01581693436641194,0.005897343914917684
4.0,20,20260824,0.9999999999961302,0.028583855850451118,0.003938860882598326,0.007875918647247222,0.015347672120207276,0.007133411619210333
8.0,40,20260820,0.9999999999999063,0.07477010688633909,0.003361421691098986,0.006721657623772326,0.0196387710934476,0.006058511148779842
8.0,40,20260821,0.9999999999998538,0.022198188935563294,0.0026740796040472642,0.0053472030169340245,0.009853071243138566,0.004720408202178034
8.0,40,20260822,0.9999999999999954,0.05484093826462766,0.00320875019006482,0.0064164168943320376,0.01835906739150626,0.005807064581912183
8.0,40,20260823,0.9999999999999909,0.021381548617878103,0.0037830410590265337,0.007564798029068198,0.011339724639439846,0.006561541840714894
8.0,40,20260824,0.9999999999996885,0.021533025933778906,0.002844742576571057,0.005688436322400181,0.010255035997433283,0.004975768214316706
16.0,80,20260820,0.9999999999999982,0.019987565628482876,0.0015117229222980876,0.003022937807508208,0.006951797606886457,0.0026510841724137414
16.0,80,20260821,0.9999999999999925,0.016280449895832484,0.0015438330320841384,0.003087142868560735,0.006742692660728088,0.0027252782067681033
16.0,80,20260822,0.9999999999999869,0.025653749373061634,0.0015933142955510081,0.0031860858490742926,0.0073492606992442725,0.0027641101276752833
16.0,80,20260823,0.9999999999999993,0.022814062163786716,0.0018945127959907535,0.003788390869665121,0.008040838067027625,0.0033365767639086303
16.0,80,20260824,0.9999999999999135,0.021176574465166825,0.0015577208483479991,0.003114893387048642,0.006450424510178184,0.0026822863205757078
32.0,160,20260820,0.9999999999999982,0.020238059387619457,0.0008701118754487396,0.0017399313367937512,0.0041653924531639165,0.001501803998600467
32.0,160,20260821,0.9999999999999977,0.014703892931373447,0.0008172416278027499,0.0016342082921425942,0.003573150434135842,0.0013974458448418052
32.0,160,20260822,0.9999999999999816,0.020320886212927394,0.0008717712656045499,0.0017432443995578572,0.003801362082820839,0.0014700725805929726
32.0,160,20260823,0.9999999999999883,0.01588243114744025,0.0008764347096560152,0.0017525712326842478,0.0038410562320492793,0.001508494007534191
32.0,160,20260824,0.9999999999998306,0.013820590550606832,0.0007754083579454662,0.00155053801438393,0.003566121381868711,0.0013400150956672803
