controller,fid,err,F_pro_0,L_z,L_amp,M_amp,r0_amp,amp_star,conservatism_amp,g_cert_diag,M_diag,g_star_diag,conservatism_diag,conservatism_diag_iter
1,0.9999998848788966,1.15121103427818e-07,0.9999997697578055,45.0,45.0,8.892782914484324e-05,4.4417105729009795e-05,8.89279103196851e-05,1.000000912817086,2.2208552864504897e-05,2.9642075227381587e-05,2.9642087035883043e-05,1.3347149279257582,1.0000003983695933
2,0.9999998206620195,1.79337980465988e-07,0.9999996413240688,45.0,45.0,8.892178058354832e-05,4.441425164597322e-05,8.892185834646079e-05,1.0000008745091693,2.220712582298661e-05,2.9640156708718458e-05,2.96401683912647e-05,1.3347142997039327,1.0000003941459
3,0.9999995197769479,4.80223052101714e-07,0.9999990395541254,45.0,45.0,8.889630121556014e-05,4.4400878980563636e-05,8.889630195558674e-05,1.000000008324605,2.2200439490281818e-05,2.9631369505684847e-05,2.9631382228686325e-05,1.3347205239633828,1.0000004293760867
4,0.9999991835309329,8.16469067133063e-07,0.9999983670625309,45.0,45.0,8.886524323066313e-05,4.438593472290759e-05,8.886532199959375e-05,1.0000008863862602,2.2192967361453796e-05,2.96212661929751e-05,2.9621277790729872e-05,1.3347146106373344,1.0000003915347406
5,0.9999989947531169,1.00524688306791e-06,0.9999979895072438,45.0,45.0,8.884890296676967e-05,4.437754460541794e-05,8.884898614519055e-05,1.0000009361783668,2.218877230270897e-05,2.9615700315334498e-05,2.9615712137813197e-05,1.3347161228112423,1.000000399196324
6,0.9999989350273581,1.06497264185101e-06,0.9999978700558564,45.0,45.0,8.884262838279697e-05,4.4374890130141314e-05,8.88427018615398e-05,1.0000008270662875,2.2187445065070657e-05,2.9613944890937906e-05,2.961395682955435e-05,1.3347168519269996,1.000000403141712
7,0.9999983494355296,1.65056447043455e-06,0.999996698873779,45.0,45.0,8.879154973149576e-05,4.4348863861753963e-05,8.879163302847514e-05,1.000000938118319,2.2174431930876982e-05,2.959664902605213e-05,2.959666142574599e-05,1.334720164106385,1.0000004189560059
8,0.9999976099109873,2.39008901270488e-06,0.9999952198276831,45.0,45.0,8.872597064182365e-05,4.4315996170735736e-05,8.872605559126089e-05,1.0000009574359867,2.2157998085367868e-05,2.9574700041743227e-05,2.957471216401425e-05,1.334719501738022,1.0000004098865247
9,0.9999972515493131,2.74845068692908e-06,0.9999945031061765,45.0,45.0,8.869375459449662e-05,4.430006902614488e-05,8.869383586930255e-05,1.000000916353201,2.215003451307244e-05,2.956402844278192e-05,2.9564040135977668e-05,1.334717565271948,1.000000395521056
10,0.9999964305638135,3.5694361865124e-06,0.9999928611403729,45.0,45.0,8.86212605445702e-05,4.426358089717475e-05,8.862134671181531e-05,1.0000009723089536,2.2131790448587375e-05,2.953979754778329e-05,2.953981002593885e-05,1.3347230127883447,1.0000004224184522
11,0.9999963832699197,3.6167300803136e-06,0.9999927665529222,45.0,45.0,8.861631354974782e-05,4.426147895382698e-05,8.861639231491462e-05,1.0000008888337109,2.213073947691349e-05,2.9538312154306422e-05,2.9538323960399116e-05,1.3347192483655201,1.0000003996874511
12,0.9999959548828486,4.04511715135225e-06,0.9999919097820525,45.0,45.0,8.857869322390511e-05,4.424243960116709e-05,8.857877654524241e-05,1.0000009406476238,2.2121219800583544e-05,2.952564091010169e-05,2.952565289819073e-05,1.3347208320497708,1.0000004060229912
13,0.9999957175219889,4.28247801109727e-06,0.9999914350623228,45.0,45.0,8.85573536697012e-05,4.423189027383935e-05,8.8557434590453e-05,1.0000009137665982,2.2115945136919673e-05,2.95185700975306e-05,2.9518581785069384e-05,1.3347194344315847,1.0000003959385142
14,0.9999949655878757,5.03441212429401e-06,0.9999899312010999,45.0,45.0,8.848977661328266e-05,4.419847113555302e-05,8.848985024927756e-05,1.000000832141268,2.209923556777651e-05,2.94962648599735e-05,2.9496276365326664e-05,1.3347193062341023,1.0000003900613592
15,0.9999948004295495,5.19957045053143e-06,0.9999896008861344,45.0,45.0,8.847622052212172e-05,4.4191130802986556e-05,8.847630540769993e-05,1.000000959416866,2.2095565401493278e-05,2.9491456788160932e-05,2.9491468987114686e-05,1.3347234366368181,1.0000004136436476
16,0.9999946724644592,5.32753554083332e-06,0.9999893449573108,45.0,45.0,8.846386342396904e-05,4.418544349579593e-05,8.846393848156516e-05,1.0000008484548744,2.2092721747897966e-05,2.94876043847334e-05,2.94876160904242e-05,1.3347208382430211,1.0000003969698807
17,0.9999944998331917,5.50016680833654e-06,0.9999889996966278,45.0,45.0,8.844939907986161e-05,4.417777103617275e-05,8.844948290076925e-05,1.0000009476707419,2.2088885518086374e-05,2.948257644568297e-05,2.9482588857193506e-05,1.334725051341009,1.0000004209778124
18,0.9999942152718732,5.78472812684527e-06,0.9999884305772117,45.0,45.0,8.842408801467398e-05,4.416512393803609e-05,8.842417180363338e-05,1.0000009475807021,2.2082561969018046e-05,2.9474106669974228e-05,2.9474118788408508e-05,1.3347236987157947,1.0000004111552698
19,0.9999917977476402,8.20225235975691e-06,0.9999835955625571,45.0,45.0,8.820908524233035e-05,4.4057679167935286e-05,8.820916766797504e-05,1.0000009344348653,2.2028839583967643e-05,2.9402455278923642e-05,2.940246726152088e-05,1.334726105269734,1.0000004075373
20,0.9999917792203681,8.22077963191781e-06,0.9999835585083114,45.0,45.0,8.820685800124047e-05,4.405685574025369e-05,8.820693481909479e-05,1.0000008708830137,2.2028427870126844e-05,2.940186704279158e-05,2.940187872311127e-05,1.3347243342310278,1.000000397264557
21,0.9999914531930443,8.54680695572263e-06,0.9999829064591291,45.0,45.0,8.817937100471166e-05,4.404236575842447e-05,8.817937386154872e-05,1.0000000323980203,2.2021182879212236e-05,2.9392359661746592e-05,2.9392372589596677e-05,1.3347317785250659,1.000000439837095
22,0.9999894111260954,1.05888739045934e-05,0.9999788223643087,45.0,45.0,8.799711189226407e-05,4.395160809574793e-05,8.799719620220968e-05,1.000000958099008,2.1975804047873965e-05,2.9331718079848375e-05,2.933172994718395e-05,1.3347284078109365,1.0000004045905373
23,0.9999885827401283,1.14172598717488e-05,0.9999771656106071,45.0,45.0,8.792368292202864e-05,4.3914791346824326e-05,8.792376948479785e-05,1.000000984521648,2.1957395673412163e-05,2.9307230992698807e-05,2.9307243363018237e-05,1.334732215009719,1.000000422091034
24,0.9999868239874061,1.3176012593874e-05,0.9999736481484092,45.0,45.0,8.776649343136421e-05,4.3836625520203104e-05,8.77665718456462e-05,1.0000008934421203,2.1918312760101552e-05,2.925504707248095e-05,2.9255058931305938e-05,1.334731338653021,1.0000004053599694
25,0.9999861964971261,1.38035028739436e-05,0.9999723931847866,45.0,45.0,8.771061380102978e-05,4.38087374397014e-05,8.771069082640784e-05,1.0000008781762517,2.19043687198507e-05,2.9236438547688577e-05,2.9236450241741465e-05,1.3347314691268009,1.0000003999821274
26,0.9999858955586922,1.41044413077829e-05,0.9999717913163176,45.0,45.0,8.768462162283385e-05,4.379536258483579e-05,8.768470658007964e-05,1.0000009688956195,2.1897681292417895e-05,2.9227626692029532e-05,2.9227639285933154e-05,1.3347367191819195,1.0000004308903954
27,0.999984918272474,1.50817275259563e-05,0.9999698367724007,45.0,45.0,8.759777369134016e-05,4.375192827557051e-05,8.759785858379913e-05,1.000000969116627,2.1875964137785254e-05,2.919866582963682e-05,2.9198678379034913e-05,1.3347378974991781,1.0000004297935448
28,0.9999836112575723,1.63887424277087e-05,0.999967222783732,45.0,45.0,8.748149247565014e-05,4.3693839638487335e-05,8.748157687088647e-05,1.000000964721039,2.1846919819243668e-05,2.9159916860151545e-05,2.9159929306729527e-05,1.334738697628407,1.0000004268385962
29,0.9999834265024687,1.65734975312581e-05,0.9999668532796164,45.0,45.0,8.746631325783979e-05,4.368562843592007e-05,8.746632160082073e-05,1.000000095385076,2.1842814217960034e-05,2.9154555507496176e-05,2.915456883691344e-05,1.334744165563675,1.0000004571984389
30,0.9999831413238557,1.68586761443157e-05,0.9999662829319209,45.0,45.0,8.744024451894547e-05,4.367295404268636e-05,8.74402460320155e-05,1.0000000173040462,2.183647702134318e-05,2.9146041848283917e-05,2.9146054700240287e-05,1.3347416193442128,1.0000004409503163
31,0.999981994804659,1.80051953410088e-05,0.9999639899335029,45.0,45.0,8.733700823091101e-05,4.3621998522285704e-05,8.733708456646171e-05,1.0000008740344128,2.1810999261142852e-05,2.911196000273557e-05,2.9111971978705292e-05,1.3347381121858735,1.000000411376277
32,0.9999807400686458,1.92599313542097e-05,0.9999614805082292,45.0,45.0,8.722609185834813e-05,4.3566233516203725e-05,8.722617450211367e-05,1.0000009474661053,2.1783116758101862e-05,2.9074800360246394e-05,2.9074812528695137e-05,1.3347407008632615,1.0000004185221771
33,0.9999807199896826,1.92800103173685e-05,0.9999614403510857,45.0,45.0,8.722454230543835e-05,4.356534113523707e-05,8.722462743450139e-05,1.000000975976036,2.1782670567618535e-05,2.907426841173793e-05,2.9074281087826243e-05,1.3347436439243219,1.0000004359899322
34,0.9999804245786236,1.95754213764276e-05,0.999960849540446,45.0,45.0,8.719839172628455e-05,4.355221200990942e-05,8.71984777391533e-05,1.0000009864043022,2.177610600495471e-05,2.90655009696661e-05,2.906551352844679e-05,1.3347433890078202,1.0000004320854714
35,0.9999789260363197,2.10739636803403e-05,0.9999578525167467,45.0,45.0,8.706488080728966e-05,4.348561148326022e-05,8.706496394042477e-05,1.0000009548411983,2.174280574163011e-05,2.902109646272437e-05,2.902110903320012e-05,1.3347453579845274,1.0000004331495802
36,0.99997863981606,2.13601839399447e-05,0.9999572800883836,45.0,45.0,8.70391231471511e-05,4.347289085296789e-05,8.70392026741825e-05,1.0000009136929293,2.1736445426483946e-05,2.901253464785128e-05,2.9012546529724085e-05,1.3347419948606156,1.0000004095427355
37,0.9999782017135218,2.17982864781918e-05,0.9999564039022039,45.0,45.0,8.700042475849379e-05,4.3453420048974084e-05,8.700050717705319e-05,1.0000009473351381,2.1726710024487042e-05,2.8999609723491204e-05,2.899962212300766e-05,1.334745209482876,1.0000004275752872
38,0.9999775387838377,2.24612161623394e-05,0.9999550780721804,45.0,45.0,8.694145160357162e-05,4.342395715956441e-05,8.694153374992053e-05,1.0000009448467606,2.1711978579782205e-05,2.897994484408861e-05,2.8979957081244994e-05,1.3347451027899686,1.0000004222629286
39,0.9999744085017265,2.5591498273525e-05,0.9999488176583812,45.0,45.0,8.666200631619986e-05,4.328483685291435e-05,8.666207638896201e-05,1.0000008085753507,2.1642418426457176e-05,2.8887119736733725e-05,2.8887131431755544e-05,1.334746000310295,1.0000004048524715
40,0.9999742592136068,2.57407863931691e-05,0.9999485190898032,45.0,45.0,8.664967902265317e-05,4.327820199562608e-05,8.664975854352076e-05,1.0000009177283573,2.163910099781304e-05,2.8882762737128257e-05,2.8882774964691898e-05,1.3347493025524,1.0000004233515938
41,0.9999724444277631,2.75555722368814e-05,0.9999448896148351,45.0,45.0,8.648797037170945e-05,4.3197546996334404e-05,8.648804625401267e-05,1.0000008773740776,2.1598773498167202e-05,2.882893588891285e-05,2.8828947754352614e-05,1.3347492975376098,1.0000004115809134
42,0.9999710122751596,2.89877248403902e-05,0.9999420253906004,45.0,45.0,8.636170826905668e-05,4.3133897568897125e-05,8.636179420876913e-05,1.0000009951136235,2.1566948784448562e-05,2.8786599099598752e-05,2.8786611731087686e-05,1.3347558812698186,1.0000004387975423
