controller,fid,err,F_pro_0,L_gamma,M_gamma,M_gamma_upper,r0_gamma,gamma_star,conservatism_M,conservatism_r0,n_evals
1,0.9999998848788966,1.15121103427818e-07,0.9999997697578055,45.0,4.446371647230141e-05,4.446376093592895e-05,4.4417105729009795e-05,4.4463725207236545e-05,1.0000001964508556,1.0010495838812907,13
2,0.9999998206620195,1.79337980465988e-07,0.9999996413240688,45.0,4.4460848405709806e-05,4.446089286646929e-05,4.441425164597322e-05,4.446085708767529e-05,1.0000001952721507,1.0010493352915988,13
3,0.9999995197769479,4.80223052101714e-07,0.9999990395541254,45.0,4.444773368507095e-05,4.444777813271574e-05,4.4400878980563636e-05,4.444774347923468e-05,1.0000002203523761,1.0010554858315206,13
4,0.9999991835309329,8.16469067133063e-07,0.9999983670625309,45.0,4.443248493930773e-05,4.4432529371703805e-05,4.438593472290759e-05,4.443249348480262e-05,1.0000001923253876,1.0010489530565412,13
5,0.9999989947531169,1.00524688306791e-06,0.9999979895072438,45.0,4.442416142484382e-05,4.4424205848916404e-05,4.437754460541794e-05,4.4424170265461486e-05,1.0000001990047167,1.0010506588514105,13
6,0.9999989350273581,1.06497264185101e-06,0.9999978700558564,45.0,4.4421623265172376e-05,4.44216676867068e-05,4.4374890130141314e-05,4.442163260270488e-05,1.0000002102024153,1.0010533541024322,13
7,0.9999983494355296,1.65056447043455e-06,0.999996698873779,45.0,4.439563891874694e-05,4.439568331429706e-05,4.4348863861753963e-05,4.4395648489206816e-05,1.0000002155720722,1.0010549227957382,13
8,0.9999976099109873,2.39008901270488e-06,0.9999952198276831,45.0,4.436261285748228e-05,4.436265722000641e-05,4.4315996170735736e-05,4.4362621828197684e-05,1.0000002022134142,1.001052118004576,13
9,0.9999972515493131,2.74845068692908e-06,0.9999945031061765,45.0,4.4346618629161093e-05,4.434666297569103e-05,4.430006902614488e-05,4.4346627352708165e-05,1.0000001967127898,1.0010509763886781,13
10,0.9999964305638135,3.5694361865124e-06,0.9999928611403729,45.0,4.431038646253741e-05,4.431043077283525e-05,4.426358089717475e-05,4.4310396339598925e-05,1.0000002229062372,1.0010576514930623,13
11,0.9999963832699197,3.6167300803136e-06,0.9999927665529222,45.0,4.430807977151919e-05,4.430812407951034e-05,4.426147895382698e-05,4.430808879213779e-05,1.00000020358857,1.001053056504493,13
12,0.9999959548828486,4.04511715135225e-06,0.9999919097820525,45.0,4.4289104390553116e-05,4.428914867956893e-05,4.424243960116709e-05,4.4289113720531305e-05,1.0000002106608006,1.001054962605701,13
13,0.9999957175219889,4.28247801109727e-06,0.9999914350623228,45.0,4.427842893886252e-05,4.427847321720291e-05,4.423189027383935e-05,4.427843775917727e-05,1.0000001992011676,1.001052351257198,13
14,0.9999949655878757,5.03441212429401e-06,0.9999899312010999,45.0,4.424504321324633e-05,4.424508745820105e-05,4.419847113555302e-05,4.424505224421001e-05,1.000000204112439,1.0010539076909273,13
15,0.9999948004295495,5.19957045053143e-06,0.9999896008861344,45.0,4.423778322918973e-05,4.4237827466884485e-05,4.4191130802986556e-05,4.423779261498413e-05,1.000000212166924,1.0010559089833115,13
16,0.9999946724644592,5.32753554083332e-06,0.9999893449573108,45.0,4.4232036119984234e-05,4.423208035193189e-05,4.418544349579593e-05,4.4232045261255484e-05,1.0000002066663,1.0010546859275948,13
17,0.9999944998331917,5.50016680833654e-06,0.9999889996966278,45.0,4.422452370818812e-05,4.422456793262338e-05,4.417777103617275e-05,4.4224533545838426e-05,1.0000002224478521,1.0010585076740832,13
18,0.9999942152718732,5.78472812684527e-06,0.9999884305772117,45.0,4.421178732736232e-05,4.421183153906122e-05,4.416512393803609e-05,4.4211796811866557e-05,1.0000002145243343,1.001056781226199,13
19,0.9999917977476402,8.20225235975691e-06,0.9999835955625571,45.0,4.410423440316502e-05,4.410427850731121e-05,4.4057679167935286e-05,4.4104243662429206e-05,1.000000209940481,1.0010568984879216,13
20,0.9999917792203681,8.22077963191781e-06,0.9999835585083114,45.0,4.410337561704583e-05,4.410341972033324e-05,4.405685574025369e-05,4.410338472883925e-05,1.0000002066008167,1.0010561123303914,13
21,0.9999914531930443,8.54680695572263e-06,0.9999829064591291,45.0,4.408924908103419e-05,4.4089293170195095e-05,4.404236575842447e-05,4.408925976050426e-05,1.0000002422239047,1.0010647475736658,13
22,0.9999894111260954,1.05888739045934e-05,0.9999788223643087,45.0,4.399811032508639e-05,4.3998154323108716e-05,4.395160809574793e-05,4.399811958800124e-05,1.0000002105298338,1.0010582432422492,13
23,0.9999885827401283,1.14172598717488e-05,0.9999771656106071,45.0,4.396143406791566e-05,4.3961478029261806e-05,4.3914791346824326e-05,4.3961444005373695e-05,1.000000226049451,1.0010623449894347,13
24,0.9999868239874061,1.3176012593874e-05,0.9999736481484092,45.0,4.388323227955717e-05,4.388327616270168e-05,4.3836625520203104e-05,4.38832422309477e-05,1.000000226769771,1.001063419234291,13
25,0.9999861964971261,1.38035028739436e-05,0.9999723931847866,45.0,4.3855244959471455e-05,4.3855288814628706e-05,4.38087374397014e-05,4.38552545397967e-05,1.0000002184533514,1.0010618224311834,13
26,0.9999858955586922,1.41044413077829e-05,0.9999717913163176,45.0,4.384214490160208e-05,4.38421887436593e-05,4.379536258483579e-05,4.384215568773227e-05,1.0000002460219548,1.001068448806785,13
27,0.999984918272474,1.50817275259563e-05,0.9999698367724007,45.0,4.379855994631772e-05,4.379860374479007e-05,4.375192827557051e-05,4.379857018252448e-05,1.0000002337110345,1.0010660537441962,13
28,0.9999836112575723,1.63887424277087e-05,0.999967222783732,45.0,4.374048932600106e-05,4.374053306640291e-05,4.3693839638487335e-05,4.374049976632176e-05,1.0000002386877893,1.0010678880185508,13
29,0.9999834265024687,1.65734975312581e-05,0.9999668532796164,45.0,4.3732513083470635e-05,4.3732556815896255e-05,4.368562843592007e-05,4.373252453279592e-05,1.0000002618035069,1.001073490265675,13
30,0.9999831413238557,1.68586761443157e-05,0.9999662829319209,45.0,4.371970871064732e-05,4.371975243026859e-05,4.367295404268636e-05,4.371971963556807e-05,1.000000249885488,1.001070813594061,13
31,0.999981994804659,1.80051953410088e-05,0.9999639899335029,45.0,4.3668613029071336e-05,4.366865669759703e-05,4.3621998522285704e-05,4.366862347511269e-05,1.0000002392116587,1.001068840365101,13
32,0.9999807400686458,1.92599313542097e-05,0.9999614805082292,45.0,4.3612837378441586e-05,4.361288099119174e-05,4.3566233516203725e-05,4.361284790538632e-05,1.000000241372618,1.001069966013134,13
33,0.9999807199896826,1.92800103173685e-05,0.9999614403510857,45.0,4.3612070131057525e-05,4.361211374304043e-05,4.356534113523707e-05,4.361208118329827e-05,1.0000002534216035,1.00107287230728,13
34,0.9999804245786236,1.95754213764276e-05,0.999960849540446,45.0,4.359874483548414e-05,4.359878843414178e-05,4.355221200990942e-05,4.359875509065698e-05,1.0000002352171575,1.0010686731763927,13
35,0.9999789260363197,2.10739636803403e-05,0.9999578525167467,45.0,4.3532306380933674e-05,4.3532349913152994e-05,4.348561148326022e-05,4.353231746142167e-05,1.0000002545348252,1.0010740559134008,13
36,0.99997863981606,2.13601839399447e-05,0.9999572800883836,45.0,4.351939457734217e-05,4.3519438096649704e-05,4.347289085296789e-05,4.3519404873696426e-05,1.0000002365923137,1.0010699546272608,13
37,0.9999782017135218,2.17982864781918e-05,0.9999564039022039,45.0,4.350001287149522e-05,4.350005637142109e-05,4.3453420048974084e-05,4.3500023599090266e-05,1.0000002466113074,1.0010724944104206,13
38,0.9999775387838377,2.24612161623394e-05,0.9999550780721804,45.0,4.347050942857474e-05,4.3470552898997225e-05,4.342395715956441e-05,4.347052004072287e-05,1.00000024412293,1.001072285535548,13
39,0.9999744085017265,2.5591498273525e-05,0.9999488176583812,45.0,4.3331299143847086e-05,4.3331342475059565e-05,4.328483685291435e-05,4.333130968228592e-05,1.0000002432061592,1.001073651485149,13
40,0.9999742592136068,2.57407863931691e-05,0.9999485190898032,45.0,4.3324739303779126e-05,4.332478262843178e-05,4.327820199562608e-05,4.332475016972161e-05,1.000000250802259,1.001075557022915,13
41,0.9999724444277631,2.75555722368814e-05,0.9999448896148351,45.0,4.324399642039258e-05,4.324403966430251e-05,4.3197546996334404e-05,4.324400710184172e-05,1.0000002470042093,1.0010755264763358,13
42,0.9999710122751596,2.89877248403902e-05,0.9999420253906004,45.0,4.318048042324185e-05,4.318052360363591e-05,4.3133897568897125e-05,4.31804917987334e-05,1.0000002634405973,1.0010802230371565,13
43,0.999969510522715,3.04894772850117e-05,0.9999390219750451,45.0,4.311373501805653e-05,4.311377813170532e-05,4.306715500100249e-05,4.3113746551005726e-05,1.0000002675005817,1.0010818348693373,13
44,0.9999564152856523,4.3584714347733e-05,0.9999128324709277,45.0,4.2531637429934767e-05,4.253167996148713e-05,4.2485166020614056e-05,4.253164977361107e-05,1.0000002902233973,1.001094117249641,13
45,0.9999550715123738,4.49284876261613e-05,0.9999101450433102,45.0,4.247182882646098e-05,4.2471871298204864e-05,4.2425445406893105e-05,4.2471840966438435e-05,1.000000285835995,1.0010935786083177,13
46,0.9999470205626795,5.29794373205217e-05,0.9998940439321774,45.0,4.21140118925983e-05,4.211405400652596e-05,4.2067642937274975e-05,4.2114024793483276e-05,1.0000003063323677,1.001102554195334,13
47,0.9999444525464534,5.55474535466338e-05,0.9998889081784259,45.0,4.1999834464590975e-05,4.199987646434144e-05,4.195351507613064e-05,4.199984743776145e-05,1.0000003088862288,1.0011043737705108,13
