controller,fid,err,M_H0,Mm_H0,Mp_H0,zeta_H0,M_H1,Mm_H1,Mp_H1,zeta_H1,M_H2,Mm_H2,Mp_H2,zeta_H2
1,0.9999998848788966,1.15121103427818e-07,0.006456127805620431,0.006456127805620431,0.00647198219565372,0.00019422657766123211,0.010117832990002792,0.010117832990002792,0.010136471942964326,5.140093981108938e-05,0.010842121595087975,0.010843499885891273,0.010842121595087975,6.281729372322759e-05
2,0.9999998206620195,1.79337980465988e-07,0.006099478363370233,0.006099478363370233,0.0061262264149480865,0.0003469374378461451,0.007342842139315568,0.007378431479034138,0.007342842139315568,-7.784561376350904e-05,0.007748211917177278,0.007758410881089726,0.007748211917177278,-0.00011117786623022871
3,0.9999995197769479,4.80223052101714e-07,0.00553550467403708,0.00553550467403708,0.005543563152604266,-0.00028056575053455885,0.010014620429205107,0.01001512422708789,0.010014620429205107,-2.3684447806639716e-05,0.008855694054552683,0.008855694054552683,0.008863408405890286,-3.8269080616763735e-05
4,0.9999991835309329,8.16469067133063e-07,0.006545263875510462,0.006545263875510462,0.006596151777943388,0.000607850088673281,0.011784205197861504,0.011784205197861504,0.0117866108575568,-0.00014856304965613914,0.008269889326338018,0.00833364474655741,0.008269889326338018,-8.839452848970704e-05
5,0.9999989947531169,1.00524688306791e-06,0.005319767827496689,0.005319767827496689,0.005354081469411273,0.0010974016857348923,0.008907324975529936,0.008912277949302971,0.008907324975529936,-8.738982945820164e-05,0.009540168452381296,0.009540168452381296,0.009543962769507204,-4.7027637549222897e-05
6,0.9999989350273581,1.06497264185101e-06,0.0060952538410409905,0.006107741549897661,0.0060952538410409905,-0.00013008813068203978,0.006376831887000153,0.006376831887000153,0.006378415681514231,0.00013666233769641284,0.008005899964966218,0.008005899964966218,0.008006679142921691,-0.00027242197472165545
7,0.9999983494355296,1.65056447043455e-06,0.005808440394879155,0.005808440394879155,0.005823236096533995,-5.159405055474517e-05,0.007386539657942856,0.007386539657942856,0.007390445822147826,4.925353831487831e-05,0.010120834826034642,0.010120834826034642,0.010134096887454135,-6.440602961395821e-05
8,0.9999976099109873,2.39008901270488e-06,0.005629170411670102,0.005629170411670102,0.00563374607425039,-0.00038062953142163137,0.011837167485152013,0.011842859070255861,0.011837167485152013,0.00014200925884375493,0.009409227698252087,0.009422532407011372,0.009409227698252087,0.0001895811900840138
9,0.9999972515493131,2.74845068692908e-06,0.005481053373120986,0.005482367954986021,0.005481053373120986,-0.00014071991246178612,0.00770350327613655,0.00770350327613655,0.007734573208589997,0.0002630163308619182,0.008344088801247634,0.008344672775843491,0.008344088801247634,0.0002882461490532656
10,0.9999964305638135,3.5694361865124e-06,0.006154750272325627,0.006154750272325627,0.0061938886161896365,0.0013486533738744034,0.00791892806673531,0.007926386391898181,0.00791892806673531,1.547180762765163e-05,0.007536831670611397,0.007536831670611397,0.007548862148154718,2.5786755361346548e-05
11,0.9999963832699197,3.6167300803136e-06,0.006141294512155924,0.006241044268832471,0.006141294512155924,-0.00310159193177208,0.009461932864197293,0.009508998681597356,0.009461932864197293,-6.045593210280639e-05,0.012453440066530555,0.012453440066530555,0.01246253933685727,-0.000136877397797201
12,0.9999959548828486,4.04511715135225e-06,0.005657938133477624,0.005657938133477624,0.005822558197042411,0.004918917332756284,0.006334515112063733,0.006334515112063733,0.006342887922949706,0.00031600109550105585,0.010729440370526803,0.010742462993355992,0.010729440370526803,3.145873043451655e-05
