controller,fid,err,L_H0,L_H1,L_H2,poly_r_H0,poly_r_H1,poly_r_H2,inradius_linf,inradius_l2,r0_joint,r0_H0,r0_H1,r0_H2,M_+e0,Mupper_+e0,nev_+e0,M_+e1,Mupper_+e1,nev_+e1,M_+e2,Mupper_+e2,nev_+e2,M_-e0,Mupper_-e0,nev_-e0,M_-e1,Mupper_-e1,nev_-e1,M_-e2,Mupper_-e2,nev_-e2,M_diagmmm,Mupper_diagmmm,nev_diagmmm,M_diagmmp,Mupper_diagmmp,nev_diagmmp,M_diagmpm,Mupper_diagmpm,nev_diagmpm,M_diagmpp,Mupper_diagmpp,nev_diagmpp,M_diagpmm,Mupper_diagpmm,nev_diagpmm,M_diagpmp,Mupper_diagpmp,nev_diagpmp,M_diagppm,Mupper_diagppm,nev_diagppm,M_diagppp,Mupper_diagppp,nev_diagppp
1,0.9999998848788966,1.15121103427818e-07,0.8213784146177635,0.9989098495944149,1.223939232348436,0.0012173254873770697,0.0010009760933897638,0.0008169399692965497,0.0003284527454092211,0.0005615460719955768,0.0003284527454092211,0.0012173254873770697,0.0010009760933897638,0.0008169399692965497,0.006456127805620431,0.006456127870158052,216,0.010117832990002792,0.010117833091137111,325,0.010842121595087975,0.010842121703459303,376,0.006456127805620431,0.006456127870158052,216,0.010117832990002792,0.010117833091137111,325,0.010842121595087975,0.010842121703459303,376,0.009889020381959632,0.009889020480806004,334,0.007850745507859006,0.007850745586332347,304,0.007999586541270389,0.007999586621233706,295,0.008364992960718708,0.008364993044327616,314,0.008364992960718708,0.008364993044327616,314,0.007999586541270389,0.007999586621233706,295,0.007850745507859006,0.007850745586332347,304,0.009889020381959632,0.009889020480806004,334
2,0.9999998206620195,1.79337980465988e-07,0.8213784146177635,1.333274195193925,1.1550974081427525,0.0012172473055347406,0.0007498987572263373,0.0008655725958431956,0.0003020834372971162,0.0005138084677302743,0.0003020834372971162,0.0012172473055347406,0.0007498987572263373,0.0008655725958431956,0.006099478363370233,0.006099478424345576,209,0.007342842139315568,0.007342842212714746,314,0.007748211917177275,0.007748211994624588,300,0.006099478363370233,0.006099478424345576,209,0.007342842139315568,0.007342842212714746,314,0.007748211917177275,0.007748211994624588,300,0.0061613184713129165,0.00616131853289909,269,0.007209489431470675,0.0072094895035374465,300,0.008878145767956088,0.008878145856694922,336,0.006405761010939717,0.006405761074966281,284,0.006405761010939717,0.006405761074966281,284,0.008878145767956088,0.008878145856694922,336,0.007209489431470675,0.0072094895035374465,300,0.0061613184713129165,0.00616131853289909,269
3,0.9999995197769479,4.80223052101714e-07,0.8213784146177635,1.268312952705016,1.3602977316602172,0.0012168809882998552,0.0007880703061625992,0.0007347801541419448,0.0002897167927988164,0.0004916119498077559,0.0002897167927988164,0.0012168809882998552,0.0007880703061625992,0.0007347801541419448,0.00553550467403708,0.005535504729375388,204,0.01001462042920511,0.010014620529307685,369,0.008855694054552683,0.008855694143069711,353,0.00553550467403708,0.005535504729375388,204,0.01001462042920511,0.010014620529307685,369,0.008855694054552683,0.008855694143069711,353,0.006888201367392219,0.0068882014362411925,301,0.0071872800040051026,0.007187280075846603,291,0.007944075350575917,0.00794407542998261,325,0.007541395524117986,0.007541395599500218,324,0.007541395524117986,0.007541395599500218,324,0.007944075350575917,0.00794407542998261,325,0.0071872800040051026,0.007187280075846603,291,0.006888201367392219,0.0068882014362411925,301
4,0.9999991835309329,8.16469067133063e-07,0.8213784146177635,0.8771822848980212,1.0040275638953302,0.0012164716203277542,0.0011390831166277773,0.000995175398428083,0.00036971356105542226,0.0006380707890553903,0.00036971356105542226,0.0012164716203277542,0.0011390831166277773,0.000995175398428083,0.006545263875510465,0.006545263940935014,225,0.011784205197861504,0.011784205315652878,304,0.008269889326338018,0.008269889408997597,290,0.006545263875510465,0.006545263940935014,225,0.011784205197861504,0.011784205315652878,304,0.008269889326338018,0.008269889408997597,290,0.007560779186764,0.007560779262341615,282,0.009287097220127917,0.009287097312956818,309,0.008738198971580912,0.00873819905892759,294,0.007483912532636262,0.007483912607438163,265,0.007483912532636262,0.007483912607438163,265,0.008738198971580912,0.00873819905892759,294,0.009287097220127917,0.009287097312956818,309,0.007560779186764,0.007560779262341615,282
5,0.9999989947531169,1.00524688306791e-06,0.8213784146177635,0.9353885986790607,0.986302745794192,0.0012162417898231644,0.0010679997110586818,0.0010128682672503463,0.00036418860650771915,0.0006290071586931414,0.00036418860650771915,0.0012162417898231644,0.0010679997110586818,0.0010128682672503463,0.005319767827496689,0.005319767880675095,194,0.008907324975529936,0.008907325064568948,286,0.009540168452381296,0.009540168547740684,310,0.005319767827496689,0.005319767880675095,194,0.008907324975529936,0.008907325064568948,286,0.009540168452381296,0.009540168547740684,310,0.005603929634223594,0.005603929690243668,216,0.008230725179675893,0.008230725261948596,273,0.007889721153238247,0.007889721232096567,266,0.00791710606564363,0.007917106144784207,290,0.00791710606564363,0.007917106144784207,290,0.007889721153238247,0.007889721232096567,266,0.008230725179675893,0.008230725261948596,273,0.005603929634223594,0.005603929690243668,216
6,0.9999989350273581,1.06497264185101e-06,0.8213784146177635,1.2858203713803447,1.222471004690173,0.0012161690757681474,0.0007768853640802268,0.0008171441478194936,0.0003000102382990657,0.0005109370124515537,0.0003000102382990657,0.0012161690757681474,0.0007768853640802268,0.0008171441478194936,0.006095253841040994,0.006095253901974133,225,0.006376831887000153,0.006376831950740769,275,0.008005899964966218,0.00800590004499327,323,0.006095253841040994,0.006095253901974133,225,0.006376831887000153,0.006376831950740769,275,0.008005899964966218,0.00800590004499327,323,0.006106336952308216,0.006106337013345588,271,0.007381813652530997,0.007381813726319063,311,0.007039694600046853,0.007039694670412504,295,0.0063962390739869535,0.006396239137917413,280,0.0063962390739869535,0.006396239137917413,280,0.007039694600046853,0.007039694670412504,295,0.007381813652530997,0.007381813726319063,311,0.006106336952308216,0.006106337013345588,271
7,0.9999983494355296,1.65056447043455e-06,0.8213784146177635,1.4235090323075177,1.1392785812517119,0.0012154561378291875,0.0007013298917459181,0.0008762996618708422,0.0002950060449798221,0.0004992373665760311,0.0002950060449798221,0.0012154561378291875,0.0007013298917459181,0.0008762996618708422,0.005808440394879159,0.005808440452945622,213,0.007386539657942859,0.007386539731777383,338,0.010120834826034646,0.010120834927198515,338,0.005808440394879159,0.005808440452945622,213,0.007386539657942859,0.007386539731777383,338,0.010120834826034646,0.010120834927198515,338,0.006677496671717714,0.0066774967384623796,290,0.00666110942780322,0.006661109494384803,295,0.008217026472646962,0.008217026554782762,337,0.00763387023585067,0.007633870312151649,310,0.00763387023585067,0.007633870312151649,310,0.008217026472646962,0.008217026554782762,337,0.00666110942780322,0.006661109494384803,295,0.006677496671717714,0.0066774967384623796,290
8,0.9999976099109873,2.39008901270488e-06,0.8213784146177635,1.0066070121729445,1.0692717727472603,0.0012145557921062768,0.0009910619526001046,0.0009329806849964203,0.0003443290817067144,0.0005928853264750325,0.0003443290817067144,0.0012145557921062768,0.0009910619526001046,0.0009329806849964203,0.005629170411670104,0.005629170467940736,197,0.011837167485152013,0.011837167603465204,348,0.009409227698252087,0.009409227792304955,318,0.005629170411670104,0.005629170467940736,197,0.011837167485152013,0.011837167603465204,348,0.009409227698252087,0.009409227792304955,318,0.006891954944028591,0.00689195501291542,252,0.008417027151574955,0.008417027235706306,295,0.008358281456600036,0.008358281540147661,286,0.007607104684070094,0.0076071047601115995,269,0.007607104684070094,0.0076071047601115995,269,0.008358281456600036,0.008358281540147661,286,0.008417027151574955,0.008417027235706306,295,0.006891954944028591,0.00689195501291542,252
9,0.9999972515493131,2.74845068692908e-06,0.8213784146177635,1.0593556251670375,0.9394797005326441,0.0012141194990805502,0.0009413756113807866,0.00106149345083869,0.00035360849961643123,0.0006092230175919682,0.00035360849961643123,0.0012141194990805502,0.0009413756113807866,0.00106149345083869,0.005481053373120988,0.005481053427915961,209,0.00770350327613655,0.0077035033531392605,277,0.008344088801247634,0.008344088884647301,270,0.005481053373120988,0.005481053427915961,209,0.00770350327613655,0.0077035033531392605,277,0.008344088801247634,0.008344088884647301,270,0.0064155689855736305,0.006415569049700601,272,0.006635131787355473,0.006635131853677163,255,0.007538631049214678,0.007538631124567419,287,0.006823584319420819,0.006823584387627394,255,0.006823584319420819,0.006823584387627394,255,0.007538631049214678,0.007538631124567419,287,0.006635131787355473,0.006635131853677163,255,0.0064155689855736305,0.006415569049700601,272
10,0.9999964305638135,3.5694361865124e-06,0.8213784146177635,1.4108576409294544,1.3533171097138545,0.0012131199774454307,0.0007062587570201835,0.0007362875682743346,0.0002779014890838224,0.00046989686420473325,0.0002779014890838224,0.0012131199774454307,0.0007062587570201835,0.0007362875682743346,0.006154750272325627,0.006154750333849518,212,0.00791892806673531,0.007918928145885391,332,0.007536831670611569,0.007536831745943066,330,0.006154750272325627,0.006154750333849518,212,0.00791892806673531,0.007918928145885391,332,0.007536831670611569,0.007536831745943066,330,0.005955744158454142,0.005955744217986213,280,0.009352335946922388,0.009352336040400104,383,0.007386375066454618,0.0073863751402840055,320,0.006745427850091764,0.006745427917512705,295,0.006745427850091764,0.006745427917512705,295,0.007386375066454618,0.0073863751402840055,320,0.009352335946922388,0.009352336040400104,383,0.005955744158454142,0.005955744217986213,280
11,0.9999963832699197,3.6167300803136e-06,0.8213784146177635,1.0801630789014542,0.9367807280206495,0.0012130623987536406,0.0009224378146066857,0.0010636248591769954,0.0003510465662986359,0.0006042601950263219,0.0003510465662986359,0.0012130623987536406,0.0009224378146066857,0.0010636248591769954,0.006141294512155926,0.006141294573544531,212,0.009461932864196675,0.00946193295876926,320,0.012453440066530555,0.012453440191003255,340,0.006141294512155926,0.006141294573544531,212,0.009461932864196675,0.00946193295876926,320,0.012453440066530555,0.012453440191003255,340,0.007165456659617899,0.00716545673123988,270,0.008507189493161264,0.008507189578194638,304,0.00906857208035258,0.009068572170999963,300,0.008622005824030145,0.008622005910214763,287,0.008622005824030145,0.008622005910214763,287,0.00906857208035258,0.009068572170999963,300,0.008507189493161264,0.008507189578194638,304,0.007165456659617899,0.00716545673123988,270
12,0.9999959548828486,4.04511715135225e-06,0.8213784146177635,1.2840879211498106,0.7956638270860634,0.0012125408522067763,0.0007756126869825753,0.001251728241174832,0.00034329893073988216,0.0005792173028331321,0.00034329893073988216,0.0012125408522067763,0.0007756126869825753,0.001251728241174832,0.005657938133477626,0.00565793819003027,201,0.006334515112063735,0.00633451517538257,283,0.01072944037052653,0.010729440477767837,289,0.005657938133477626,0.00565793819003027,201,0.006334515112063735,0.00633451517538257,283,0.01072944037052653,0.010729440477767837,289,0.00564369726247462,0.005643697318884093,250,0.007514500548201896,0.0075145006233108234,293,0.007597211534027475,0.007597211609969304,307,0.0069991072056947564,0.006999107275656896,263,0.0069991072056947564,0.006999107275656896,263,0.007597211534027475,0.007597211609969304,307,0.007514500548201896,0.0075145006233108234,293,0.00564369726247462,0.005643697318884093,250
