controller,fid,err,L_H0,L_H1,L_H2,poly_r_H0,poly_r_H1,poly_r_H2,inradius_linf,inradius_l2,r0_joint,r0_H0,r0_H1,r0_H2,M_+e0,Mupper_+e0,nev_+e0,M_+e1,Mupper_+e1,nev_+e1,M_+e2,Mupper_+e2,nev_+e2,M_-e0,Mupper_-e0,nev_-e0,M_-e1,Mupper_-e1,nev_-e1,M_-e2,Mupper_-e2,nev_-e2,M_diagmmm,Mupper_diagmmm,nev_diagmmm,M_diagmmp,Mupper_diagmmp,nev_diagmmp,M_diagmpm,Mupper_diagmpm,nev_diagmpm,M_diagmpp,Mupper_diagmpp,nev_diagmpp,M_diagpmm,Mupper_diagpmm,nev_diagpmm,M_diagpmp,Mupper_diagpmp,nev_diagpmp,M_diagppm,Mupper_diagppm,nev_diagppm,M_diagppp,Mupper_diagppp,nev_diagppp
1,0.9999998848788966,1.15121103427818e-07,0.8213784146177635,0.9989098495944149,1.223939232348436,0.0012173254873770697,0.0010009760933897638,0.0008169399692965497,0.0003284527454092211,0.0005615460719955768,0.0003284527454092211,0.0012173254873770697,0.0010009760933897638,0.0008169399692965497,0.006456127811548907,0.006456127876089306,206,0.010117833077039066,0.010117833178172185,317,0.01084212166668573,0.010842121775056755,379,0.006456127811548907,0.006456127876089306,206,0.010117833077039066,0.010117833178172185,317,0.01084212166668573,0.010842121775056755,379,0.009889020427722937,0.0098890205265637,350,0.007850745506250211,0.0078507455847196,284,0.00799958659933285,0.007999586679292993,299,0.008364992922788056,0.008364993006403523,287,0.008364992922788056,0.008364993006403523,287,0.00799958659933285,0.007999586679292993,299,0.007850745506250211,0.0078507455847196,284,0.009889020427722937,0.0098890205265637,350
2,0.9999998206620195,1.79337980465988e-07,0.8213784146177635,1.333274195193925,1.1550974081427525,0.0012172473055347406,0.0007498987572263373,0.0008655725958431956,0.0003020834372971162,0.0005138084677302743,0.0003020834372971162,0.0012172473055347406,0.0007498987572263373,0.0008655725958431956,0.006099478378560971,0.0060994784395260356,222,0.007342842145173752,0.00734284221857133,314,0.007748211908645459,0.007748211986096749,291,0.006099478378560971,0.0060994784395260356,222,0.007342842145173752,0.00734284221857133,314,0.007748211908645459,0.007748211986096749,291,0.006161318466413017,0.006161318527999782,267,0.007209489458580812,0.007209489530644024,305,0.008878145703092125,0.008878145791832909,324,0.006405761017510115,0.006405761081538204,290,0.006405761017510115,0.006405761081538204,290,0.008878145703092125,0.008878145791832909,324,0.007209489458580812,0.007209489530644024,305,0.006161318466413017,0.006161318527999782,267
3,0.9999995197769479,4.80223052101714e-07,0.8213784146177635,1.268312952705016,1.3602977316602172,0.0012168809882998552,0.0007880703061625992,0.0007347801541419448,0.0002897167927988164,0.0004916119498077559,0.0002897167927988164,0.0012168809882998552,0.0007880703061625992,0.0007347801541419448,0.005535504641095045,0.005535504696433442,197,0.010014620399682938,0.010014620499783635,359,0.008855693996443651,0.008855694084957122,352,0.005535504641095045,0.005535504696433442,197,0.010014620399682938,0.010014620499783635,359,0.008855693996443651,0.008855694084957122,352,0.006888201418143845,0.0068882014869961206,283,0.007187280011056285,0.007187280082894008,311,0.007944075341964254,0.007944075421369937,319,0.007541395486860318,0.007541395562240176,303,0.007541395486860318,0.007541395562240176,303,0.007944075341964254,0.007944075421369937,319,0.007187280011056285,0.007187280082894008,311,0.006888201418143845,0.0068882014869961206,283
4,0.9999991835309329,8.16469067133063e-07,0.8213784146177635,0.8771822848980212,1.0040275638953302,0.0012164716203277542,0.0011390831166277773,0.000995175398428083,0.00036971356105542226,0.0006380707890553903,0.00036971356105542226,0.0012164716203277542,0.0011390831166277773,0.000995175398428083,0.006545263862172839,0.006545263927600648,227,0.011784205200115389,0.011784205317906075,315,0.00826988929541038,0.00826988937807252,274,0.006545263862172839,0.006545263927600648,227,0.011784205200115389,0.011784205317906075,315,0.00826988929541038,0.00826988937807252,274,0.007560779127239212,0.007560779202817068,267,0.009287097265719592,0.0092870973585445,317,0.008738198997417634,0.008738199084758777,298,0.007483912546028381,0.007483912620830272,259,0.007483912546028381,0.007483912620830272,259,0.008738198997417634,0.008738199084758777,298,0.009287097265719592,0.0092870973585445,317,0.007560779127239212,0.007560779202817068,267
5,0.9999989947531169,1.00524688306791e-06,0.8213784146177635,0.9353885986790607,0.986302745794192,0.0012162417898231644,0.0010679997110586818,0.0010128682672503463,0.00036418860650771915,0.0006290071586931414,0.00036418860650771915,0.0012162417898231644,0.0010679997110586818,0.0010128682672503463,0.005319767836842961,0.005319767890020662,189,0.008907324917019198,0.008907325006050395,280,0.009540168456117368,0.009540168551472697,305,0.005319767836842961,0.005319767890020662,189,0.008907324917019198,0.008907325006050395,280,0.009540168456117368,0.009540168551472697,305,0.005603929640067826,0.00560392969608197,221,0.008230725155916024,0.00823072523819117,281,0.007889721112340492,0.007889721191200454,264,0.007917106041883231,0.007917106121015656,276,0.007917106041883231,0.007917106121015656,276,0.007889721112340492,0.007889721191200454,264,0.008230725155916024,0.00823072523819117,281,0.005603929640067826,0.00560392969608197,221
6,0.9999989350273581,1.06497264185101e-06,0.8213784146177635,1.2858203713803447,1.222471004690173,0.0012161690757681474,0.0007768853640802268,0.0008171441478194936,0.0003000102382990657,0.0005109370124515537,0.0003000102382990657,0.0012161690757681474,0.0007768853640802268,0.0008171441478194936,0.006095253864691626,0.006095253925614129,211,0.006376831851111067,0.006376831914853208,278,0.00800589992113746,0.00800590000116259,300,0.006095253864691626,0.006095253925614129,211,0.006376831851111067,0.006376831914853208,278,0.00800589992113746,0.00800590000116259,300,0.006106336974725754,0.006106337035763498,276,0.007381813683282171,0.007381813757067168,336,0.007039694587019439,0.007039694657388433,278,0.006396239031665246,0.006396239095597228,279,0.006396239031665246,0.006396239095597228,279,0.007039694587019439,0.007039694657388433,278,0.007381813683282171,0.007381813757067168,336,0.006106336974725754,0.006106337035763498,276
7,0.9999983494355296,1.65056447043455e-06,0.8213784146177635,1.4235090323075177,1.1392785812517119,0.0012154561378291875,0.0007013298917459181,0.0008762996618708422,0.0002950060449798221,0.0004992373665760311,0.0002950060449798221,0.0012154561378291875,0.0007013298917459181,0.0008762996618708422,0.005808440401069227,0.005808440459136234,203,0.007386539653807919,0.007386539727642328,316,0.010120834861623448,0.010120834962781274,338,0.005808440401069227,0.005808440459136234,203,0.007386539653807919,0.007386539727642328,316,0.010120834861623448,0.010120834962781274,338,0.006677496706970189,0.0066774967737180954,300,0.0066611094257336655,0.006661109492318365,290,0.008217026455383294,0.008217026537512717,321,0.007633870232455963,0.007633870308763538,315,0.007633870232455963,0.007633870308763538,315,0.008217026455383294,0.008217026537512717,321,0.0066611094257336655,0.006661109492318365,290,0.006677496706970189,0.0066774967737180954,300
8,0.9999976099109873,2.39008901270488e-06,0.8213784146177635,1.0066070121729445,1.0692717727472603,0.0012145557921062768,0.0009910619526001046,0.0009329806849964203,0.0003443290817067144,0.0005928853264750325,0.0003443290817067144,0.0012145557921062768,0.0009910619526001046,0.0009329806849964203,0.005629170444284197,0.0056291705005548295,196,0.011837167445414246,0.011837167563732097,350,0.009409227661602904,0.00940922775565416,306,0.005629170444284197,0.0056291705005548295,196,0.011837167445414246,0.011837167563732097,350,0.009409227661602904,0.00940922775565416,306,0.006891954949194342,0.006891955018080018,235,0.008417027096312545,0.008417027180447963,276,0.008358281463223222,0.008358281546765238,292,0.007607104641707727,0.007607104717741173,265,0.007607104641707727,0.007607104717741173,265,0.008358281463223222,0.008358281546765238,292,0.008417027096312545,0.008417027180447963,276,0.006891954949194342,0.006891955018080018,235
9,0.9999972515493131,2.74845068692908e-06,0.8213784146177635,1.0593556251670375,0.9394797005326441,0.0012141194990805502,0.0009413756113807866,0.00106149345083869,0.00035360849961643123,0.0006092230175919682,0.00035360849961643123,0.0012141194990805502,0.0009413756113807866,0.00106149345083869,0.005481053421850053,0.00548105347664463,187,0.0077035032483153895,0.007703503325319576,288,0.008344088797060329,0.008344088880460714,279,0.005481053421850053,0.00548105347664463,187,0.0077035032483153895,0.007703503325319576,288,0.008344088797060329,0.008344088880460714,279,0.006415568985276262,0.006415569049400174,238,0.006635131786547687,0.006635131852867192,248,0.007538631039385726,0.007538631114739514,278,0.006823584300234336,0.006823584368439493,265,0.006823584300234336,0.006823584368439493,265,0.007538631039385726,0.007538631114739514,278,0.006635131786547687,0.006635131852867192,248,0.006415568985276262,0.006415569049400174,238
10,0.9999964305638135,3.5694361865124e-06,0.8213784146177635,1.4108576409294544,1.3533171097138545,0.0012131199774454307,0.0007062587570201835,0.0007362875682743346,0.0002779014890838224,0.00046989686420473325,0.0002779014890838224,0.0012131199774454307,0.0007062587570201835,0.0007362875682743346,0.006154750287505032,0.006154750349030335,213,0.0079189281058983,0.007918928185049764,341,0.00753683170069555,0.007536831776033268,310,0.006154750287505032,0.006154750349030335,213,0.0079189281058983,0.007918928185049764,341,0.00753683170069555,0.007536831776033268,310,0.005955744183167336,0.005955744242700456,277,0.00935233587251568,0.00935233596599869,354,0.007386375107720007,0.007386375181547966,318,0.006745427862047345,0.006745427929472208,295,0.006745427862047345,0.006745427929472208,295,0.007386375107720007,0.007386375181547966,318,0.00935233587251568,0.00935233596599869,354,0.005955744183167336,0.005955744242700456,277
