controller,fid,err,M_H0,KM_H0,ratio_H0,KTOb_H0,Kflb_H0,wunc_H0,wavg_H0,wdev_H0,M_H1,KM_H1,ratio_H1,KTOb_H1,Kflb_H1,wunc_H1,wavg_H1,wdev_H1,M_H2,KM_H2,ratio_H2,KTOb_H2,Kflb_H2,wunc_H2,wavg_H2,wdev_H2
1,0.999999884878897,1.15121103427818e-07,0.00645612780562016,0.00141307882800816,4.5688376880719,0.921825467163347,0.971988309510232,2,0.844315457131164,2.22361561781175,0.0101178329900005,0.00165895044652821,6.09893623475894,1.35302798585818,0.831574154497958,5.64103122919798,0.477520742246862,5.81991841330686,0.0108421215950888,0.0014597358558848,7.42745446128468,1.38643191873585,0.809679657254388,4.43738222975162,0.45563900825031,4.75607747311909
2,0.99999982066202,1.79337980465988e-07,0.00609947836337118,0.00140943335406091,4.32761034482202,0.893814269831245,0.975564442260839,2,0.896378576088482,2.11341933181387,0.00734284213931365,0.0012234543269819,6.00172967423103,1.35654777063527,0.829377468999809,7.9770898847211,0.581874266204862,7.9732614065975,0.00774821191718122,0.00135294412321872,5.72692676970861,1.37095948665076,0.820116278877014,8.11702802978182,0.578013427416765,8.15916917400035
3,0.999999519776948,4.80223052101714e-07,0.00553550467404087,0.00139775827571061,3.96027322480109,0.848183837666278,0.980587120878532,2,1.03270003612812,2.17906677072238,0.0100146204292043,0.00131894996672441,7.59287363574179,1.54300779329244,0.669168497887477,6.540712894509,0.457386507840068,6.67649288156345,0.0088556940545535,0.00129879520080612,6.81839142080065,1.30027955388308,0.861636475969583,4.96652190106724,0.515040491204934,5.04856008523114
4,0.999999183530933,8.16469067133063e-07,0.0065452638755106,0.00138862878176269,4.71347271601428,0.928732753606433,0.971043580925788,2,0.691787702906054,2.18037316582869,0.0117842051978619,0.00198314268176957,5.94218726982708,1.19828812694065,0.906748896625159,3.44303515660182,0.397022122738752,3.68634207068172,0.00826988932633547,0.00169191792826405,4.88787853605911,1.08442433449269,0.941594617423168,4.60940113355484,0.583275801719751,4.82893803705632
5,0.999998994753117,1.00524688306791e-06,0.00531976782749493,0.00138433406966236,3.84283529826903,0.830248163399716,0.982315315385989,2,0.922113202914102,2.20112537587012,0.00890732497552851,0.0018931857395031,4.70493982162912,0.99598443437984,0.960391506402846,3.08403423242532,0.568161317303788,3.1524568409882,0.00954016845237972,0.00172949517133847,5.51615789999372,1.16527464693228,0.918312028471942,4.33815065679696,0.524005240440597,4.62134794969327
6,0.999998935027358,1.06497264185101e-06,0.00609525384104167,0.0013830608309562,4.40707574433123,0.893478749507295,0.975604891301796,2,0.789259601316606,2.26848377569587,0.00637683188700067,0.00122004553027895,5.22671632225291,1.2359113685524,0.891877972614586,8.4057126711624,0.684369446306691,8.57591596736684,0.00800589996496967,0.00142605880978905,5.61400407193162,1.13987979933476,0.926349761924411,4.58524923698694,0.586356484612007,4.88618540118846
7,0.99999834943553,1.65056447043455e-06,0.00580844039487956,0.00137209330799254,4.23326923981408,0.870483320381908,0.978249917746267,2,0.934004138075721,2.17457148895134,0.00738653965794278,0.00120626164181174,6.12349709375536,1.21709304230485,0.899553536182604,5.6590781266506,0.657212176017619,5.82241140001013,0.010120834826036,0.00144419559769089,7.00793912003204,1.43353375492389,0.774506463106631,5.86837849110884,0.469632977337654,6.22727418613286
8,0.999997609910987,2.39008901270488e-06,0.00562917041167118,0.00136075017799543,4.13681401825257,0.855884371012279,0.979804334673744,2,0.87567827505664,2.15974455984878,0.0118371674851549,0.00164889421372887,7.17885197643206,1.41433684389099,0.789487100998701,4.74495277855648,0.428252638205496,4.92217693824806,0.00940922769825686,0.00147329329671118,6.38652718997706,1.39560197658863,0.803243251761738,6.49839099524488,0.524256912683749,6.65854247773298
9,0.999997251549313,2.74845068692908e-06,0.00548105337312045,0.00135589121956718,4.04239904648846,0.843683535288348,0.981033073157607,2,0.936959269977729,2.19568433187636,0.0077035032761376,0.00162705591549392,4.7346272508398,0.997433571609393,0.960130512140341,3.73273773934866,0.625077039719359,3.85780528807831,0.00834408880124479,0.00177628525747626,4.6974936970991,1.03452310840037,0.95294565388253,4.20265236168124,0.574344441504753,4.31794602986061
10,0.999996430563813,3.5694361865124e-06,0.00615475027232468,0.00134583245208138,4.5731920513628,0.898195827381416,0.975031166745658,2,0.761194048481766,2.19154594654002,0.0079189280667317,0.00113074374859249,7.00329148543946,1.44231443162443,0.767341434360411,7.76297600635256,0.609723364857033,7.92798871280594,0.00753683167061066,0.00125595655690516,6.00086971891957,1.17034033240079,0.916622080896836,5.05639331068696,0.590874248547322,5.47166242888042
11,0.99999638326992,3.6167300803136e-06,0.00614129451215741,0.00134529011347228,4.56503355719039,0.897130558153042,0.975161686676467,2,0.82832928292002,2.18737019127424,0.00946193286420069,0.00157156192866569,6.02071906401689,1.17436925561492,0.915256707078307,4.06512937755058,0.450473505733592,4.4109256931827,0.0124534400665289,0.00181591673417315,6.85793562676726,1.27737896224286,0.87314655140273,3.46547818138014,0.381881267406,3.66909146948793
12,0.999995954882849,4.04511715135225e-06,0.00565793813347749,0.00134052996165157,4.22067264092088,0.858239273791036,0.979559901104573,2,0.972942770493676,2.20897143425293,0.00633451511206304,0.00132412613445108,4.78392121962689,1.00095819503533,0.959489741355812,4.63619181194424,0.666258183585098,4.92153311981338,0.0107294403705279,0.00193904442437862,5.53336490677168,1.24978034372342,0.88590071830636,4.98956007258444,0.480749649899343,5.15838493212159
