controller,structure,fid,err,KM,Fmin_m1_grid,Fmin_m105_grid,Fmin_m1_x4,Fmin_m105_x4,Fmin_m1_x16,Fmin_m105_x16,violated,omega_avg_traj,omega_unc_traj,omega_avg_excess
1,H0,0.9999998848788966,1.15121103427818e-07,0.0014130788280081624,0.9999517976572592,0.9999468825332196,0.9999517976572603,0.9999468825332247,0.9999517976572669,0.9999468825332468,0,,,
1,H1,0.9999998848788966,1.15121103427818e-07,0.0016589504465282139,0.9998927328333372,0.99988179697387,0.9998830580245733,0.9998711744502821,0.9998824923215095,0.999870684530696,0,,,
1,H2,0.9999998848788966,1.15121103427818e-07,0.0014597358558848031,0.9998733823780419,0.999858729144678,0.9998594601498114,0.9998449498327152,0.9998588040047208,0.9998444082594389,0,,,
2,H0,0.9999998206620195,1.79337980465988e-07,0.001409433354060907,0.9999461247440842,0.9999406452249302,0.9999461247440821,0.999940645224931,0.9999461247440676,0.9999406452249364,0,,,
2,H1,0.9999998206620195,1.79337980465988e-07,0.0012234543269819046,0.9999206853783712,0.9999110285615098,0.9999100001371152,0.9999009836986305,0.9999108030261835,0.9999018869374443,0,,,
2,H2,0.9999998206620195,1.79337980465988e-07,0.001352944123218717,0.9999302772903885,0.9999242962153216,0.9999197510767903,0.9999081023303138,0.9999159297118948,0.9999075311436773,0,,,
3,H0,0.9999995197769479,4.80223052101714e-07,0.0013977582757106098,0.9999355108586663,0.9999289734129683,0.9999355108586625,0.9999289734129678,0.9999355108586423,0.999928973412967,0,,,
3,H1,0.9999995197769479,4.80223052101714e-07,0.0013189499667244134,0.9998951378479546,0.9998844386349603,0.9998829668535587,0.9998710328823323,0.9998823522133018,0.9998703500568352,0,,,
3,H2,0.9999995197769479,4.80223052101714e-07,0.0012987952008061197,0.9999084418799936,0.9998993892823906,0.9998978608094808,0.9998941900333872,0.9998962655536754,0.9998855975725818,0,,,
4,H0,0.9999991835309329,8.16469067133063e-07,0.0013886287817626915,0.9999440952545005,0.9999385637328899,0.9999436085219416,0.9999385827957397,0.9999436007050159,0.9999380311401401,0,,,
4,H1,0.9999991835309329,8.16469067133063e-07,0.0019831426817695707,0.9999174831845365,0.999898979062796,0.9999029282891488,0.9998932083442785,0.9999025840600037,0.9998926592748203,0,,,
4,H2,0.9999991835309329,8.16469067133063e-07,0.0016919179282640538,0.9998853287634193,0.9998766114716293,0.9998747069649474,0.9998619214140047,0.9998737560725465,0.9998608786221959,0,,,
5,H0,0.9999989947531169,1.00524688306791e-06,0.001384334069662361,0.9999302245766585,0.9999232550571853,0.9999302245766692,0.9999232550571809,0.9999302245767123,0.999923255057167,0,,,
5,H1,0.9999989947531169,1.00524688306791e-06,0.001893185739503098,0.9999173256384648,0.9999096614847812,0.9998959043459821,0.9998847623108436,0.9998954009763106,0.999884568723418,0,,,
5,H2,0.9999989947531169,1.00524688306791e-06,0.0017294951713384746,0.9999103436900165,0.9999034578395045,0.9999103760788678,0.9999001235343533,0.9999092659876775,0.9998998636771544,0,,,
6,H0,0.9999989350273581,1.06497264185101e-06,0.0013830608309562016,0.9999473967958261,0.9999421228684632,0.9999473967958193,0.9999421228684723,0.9999473967957918,0.9999421228684996,0,,,
6,H1,0.9999989350273581,1.06497264185101e-06,0.001220045530278946,0.9999234306815197,0.9999157042460037,0.9999154071063552,0.9999068259480469,0.9999148286509574,0.9999062155500955,0,,,
6,H2,0.9999989350273581,1.06497264185101e-06,0.0014260588097890464,0.9999104903418048,0.9999017812099736,0.9998977114105251,0.9998884847649155,0.9998938751238038,0.9998831283883899,0,,,
7,H0,0.9999983494355296,1.65056447043455e-06,0.0013720933079925408,0.9999427235196132,0.9999370277948237,0.9999426631694093,0.9999369659048575,0.9999426221407604,0.9999369186780706,0,,,
7,H1,0.9999983494355296,1.65056447043455e-06,0.0012062616418117426,0.999903708237032,0.9998981304816262,0.9998959373435543,0.9998874898117541,0.9998954701791418,0.9998852005572024,0,,,
7,H2,0.9999983494355296,1.65056447043455e-06,0.0014441955976908856,0.9999212639744517,0.9999160946564262,0.999910005368636,0.999900682194888,0.9999099509572669,0.9998998793691715,0,,,
8,H0,0.9999976099109873,2.39008901270488e-06,0.0013607501779954313,0.9999388663301498,0.9999328747422936,0.9999388663301402,0.9999328747422942,0.9999388663301011,0.9999328747423005,0,,,
8,H1,0.9999976099109873,2.39008901270488e-06,0.0016488942137288702,0.9999049147861889,0.9998954094751573,0.9998997496061292,0.9998895153652545,0.9998994739527469,0.9998895166902748,0,,,
8,H2,0.9999976099109873,2.39008901270488e-06,0.0014732932967111755,0.9999220743466669,0.9999138153222438,0.9999145216082611,0.9999060765557868,0.999913670080549,0.9999050938632233,0,,,
9,H0,0.9999972515493131,2.74845068692908e-06,0.0013558912195671825,0.9999360345995879,0.9999297704802728,0.9999360345995827,0.9999297704802754,0.999936034599558,0.9999297704802842,0,,,
9,H1,0.9999972515493131,2.74845068692908e-06,0.0016270559154939169,0.9998974974031539,0.9998874235351932,0.999890373324663,0.9998794956196664,0.9998899201385139,0.9998785897662044,0,,,
9,H2,0.9999972515493131,2.74845068692908e-06,0.0017762852574762628,0.9998991396573939,0.9998918711940937,0.9998947930092342,0.999884309192157,0.9998961461967922,0.9998846803371906,0,,,
10,H0,0.9999964305638135,3.5694361865124e-06,0.0013458324520813816,0.9999468446697691,0.9999423357869182,0.9999457784465067,0.9999406406434267,0.9999457918554032,0.9999406406434218,0,,,
10,H1,0.9999964305638135,3.5694361865124e-06,0.0011307437485924925,0.9999028708976088,0.9998932305581718,0.9998937681888328,0.9998832532988623,0.9998928899452384,0.9998822764432024,0,,,
10,H2,0.9999964305638135,3.5694361865124e-06,0.00125595655690516,0.9999025508151536,0.9998930787711496,0.999887778304013,0.9998766451490348,0.9998870023586209,0.9998757909415391,0,,,
11,H0,0.9999963832699197,3.6167300803136e-06,0.0013452901134722779,0.9999407458907447,0.9999350896219931,0.9999405035564133,0.9999348197429991,0.9999405013107864,0.999934819743016,0,,,
11,H1,0.9999963832699197,3.6167300803136e-06,0.001571561928665692,0.9998844876872155,0.9998750909555868,0.9998770163727775,0.9998648384416003,0.9998767909097761,0.9998645783496336,0,,,
11,H2,0.9999963832699197,3.6167300803136e-06,0.0018159167341731482,0.9999108397164183,0.999901489603819,0.9999046370694257,0.9998951504946686,0.9999034763825021,0.9998939009901819,0,,,
